x,y,mouseX,mouseY,TimeStamp
701.6,4064.1,633,3954,498403768
736.9,4047.6,678,3962,498403797
719.0,4021.2,693,3964,498403812
729.8,4016.6,712,3966,498403842
742.0,4015.6,718,3966,498403857
752.0,4017.0,727,3967,498403903
749.9,4012.6,727,3967,498403914
794.1,4101.0,727,3967,498403932
778.2,4090.5,729,3967,498403947
735.2,4084.1,729,3967,498403976
788.9,4056.5,729,3967,498403992
818.7,4071.5,729,3967,498404021
844.1,4059.4,729,3967,498404048
848.1,3992.3,729,3967,498404067
848.4,3994.6,729,3967,498404082
859.5,3947.9,729,3967,498404111
886.0,3908.3,729,3967,498404126
901.1,3865.6,729,3967,498404137
950.9,3793.3,729,3967,498404156
958.8,3811.4,729,3967,498404173
958.5,3813.8,729,3967,498404202
965.7,3815.6,729,3967,498404217
963.3,3825.3,728,3967,498404246
981.2,3827.8,728,3967,498404261
996.9,3830.1,728,3967,498404291
1018.7,3840.8,728,3967,498404306
1023.6,3794.2,728,3967,498404353
1029.0,3790.9,728,3967,498404380
1032.8,3794.6,728,3967,498404396
1218.4,3672.8,728,3967,498404426
1232.8,3663.6,728,3967,498404442
1246.1,3655.1,728,3967,498404472
1235.4,3632.0,728,3967,498404516
1239.0,3632.6,728,3967,498404531
1244.1,3609.8,728,3967,498404563
1252.5,3598.3,728,3967,498404577
1244.6,3612.7,728,3967,498404607
1253.6,3647.3,728,3967,498404623
1254.1,3652.0,728,3967,498404653
1242.5,3569.3,728,3868,498404667
1247.4,3572.4,728,3868,498404697
1253.7,3581.3,728,3868,498404713
1257.7,3588.3,728,3868,498404723
1251.7,3321.3,728,3573,498404744
1203.7,3373.5,728,3573,498404758
1131.0,3503.2,728,3573,498404767
1133.9,3486.4,728,3573,498404804
1064.6,3381.4,728,3474,498404833
1037.4,3340.8,728,3474,498404846
1050.1,3352.2,728,3474,498404858
1051.9,3344.1,728,3474,498404878
1042.5,3351.6,728,3474,498404891
1037.6,3357.1,728,3474,498404902
1055.2,3361.2,728,3474,498404923
1071.1,3361.7,728,3474,498404949
1078.7,3362.3,728,3474,498404967
1085.3,3366.4,728,3474,498404981
1095.1,3373.4,728,3474,498404993
1075.9,3375.5,728,3474,498405012
1064.4,3375.9,728,3474,498405028
1083.1,3380.7,728,3474,498405038
1070.9,3370.8,728,3474,498405058
1067.6,3367.9,728,3474,498405073
1049.0,3370.1,728,3474,498405103
1042.4,3366.3,728,3474,498405116
1033.5,3363.3,728,3474,498405128
977.3,3356.3,728,3474,498405146
1018.0,3380.2,728,3474,498405162
1086.7,3380.1,728,3474,498405172
1041.7,3481.2,728,3573,498405192
1053.2,3492.1,728,3573,498405208
1101.6,3541.7,728,3573,498405219
1145.7,3575.4,728,3573,498405254
